                PC      BP      SP      Stack
Initial values: 10      499     500

  JMP 0 85      85      499     500
  EQL 0 5       46      482     478     0 0 0 0 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 1 
  JPC 0 55      49      482     479     0 0 0 0 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 
  LIT 0 1       52      482     478     0 0 0 0 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 1 
  STO 1 3       55      482     479     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 
  LOD 1 4       58      482     478     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 0 
  LIT 0 0       61      482     477     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 0 0 
  GTR 0 9       64      482     478     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 0 
  JPC 0 70      70      482     479     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 
  LOD 1 3       73      482     478     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 1 
  LOD 0 3       76      482     477     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 1 1 
  MUL 0 3       79      482     478     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 1 
  STO 1 3       82      482     479     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 | 499 486 70 1 
  RTN 0 0       70      486     483     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 
  LOD 1 3       73      486     482     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 1 
  LOD 0 3       76      486     481     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 1 2 
  MUL 0 3       79      486     482     0 0 0 1 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 2 
  STO 1 3       82      486     483     0 0 0 2 0 | 499 499 97 4 | 499 494 70 3 | 499 490 70 2 
  RTN 0 0       70      490     487     0 0 0 2 0 | 499 499 97 4 | 499 494 70 3 
  LOD 1 3       73      490     486     0 0 0 2 0 | 499 499 97 4 | 499 494 70 3 2 
  LOD 0 3       76      490     485     0 0 0 2 0 | 499 499 97 4 | 499 494 70 3 2 3 
  MUL 0 3       79      490     486     0 0 0 2 0 | 499 499 97 4 | 499 494 70 3 6 
  STO 1 3       82      490     487     0 0 0 6 0 | 499 499 97 4 | 499 494 70 3 
  RTN 0 0       70      494     491     0 0 0 6 0 | 499 499 97 4 
  LOD 1 3       73      494     490     0 0 0 6 0 | 499 499 97 4 6 
  LOD 0 3       76      494     489     0 0 0 6 0 | 499 499 97 4 6 4 
  MUL 0 3       79      494     490     0 0 0 6 0 | 499 499 97 4 24 
  STO 1 3       82      494     491     0 0 0 24 0 | 499 499 97 4 
  RTN 0 0       97      499     495     0 0 0 24 0 
  LOD 0 3       100     499     494     0 0 0 24 0 24 
Output result is: 24
  SYS 0 1       103     499     495     0 0 0 24 0 
  SYS 0 3       106     499     495     0 0 0 24 0 
